EvidenceType,Sentence
N,"PTPN11 mutation, a RAS signaling pathway mutation, is associated with MLL translocations in acute leukemia."
Predisposing?,"Germline mutations in RAD51, RAD51AP1, RAD51B, RAD51C,RAD51D, RAD52 and RAD54L do not contribute to familial chronic lymphocytic leukemia."
N,"In addition, LRH-1 expression was found to be associated with invasive breast cancer."
N,"However, the relationship between K-ras  and p53  expression in pancreatic adenocarcinoma was not clear in genes\u2019 alterations and clinical outcomes."
N,"This study highlights a need for further investigation into this protease within breast cancer, to consolidate the potential predictive and prognostic utility of CTSS expression in different subtypes."
N,"c  qRT-PCR analysis of IL-6, IL-11, LIF and Acta2 mRNA expression in epidural ADSCs treated with CM from one of four lung cancer cell lines for 48 h. ADSCs cultured in untreated medium served as controls."
N,"In addition, GRP78 knockdown decreased the viability of selected tumor cell types, including prostate cancer PC3 or LNCaP cells  ."
N,This anti-progressive effect may be further enhanced by an agonist-driven induction of CRFR2 expression within the microvasculature of kidney tumors.
N,We next performed an immunohistochemistry analysis of 385 gastric cancer patients to evaluate the relationship between expression of PSMB8 or PBK and clinicopathological characteristics.
N,miR-181b-5p was significantly upregulated in stage II/III/IV NSCLC ( ** p<0.05).
N,"Taken together, our results suggest that fibronectin stimulates lung cancer carcinoma cell growth by reducing the cyclin-dependent kinase inhibitor p21 and by inducing cyclin D1 gene expression."
N,Osteopontin is overexpressed in colorectal carcinoma and is correlated with P53 by immunohistochemistry.
N,"For NB miRNA library construction, we used RNA derived from 13 tumour samples as well as two neuroblastoma cell lines, SH-EP ( MYCN single-copy) and Kelly ( MYCN amplified)."
N,"A similar well-characterized fusion gene in epithelial tumor, MYB-NFIB  fusion, was reported in adenoid cystic carcinoma ."
N,"In addition, A gastric cancer research highlighted that ANLN (Anillin Actin Binding Protein) expression was significantly associated with Wnt/\u03b2-catenin signaling pathway."
N,"The expression levels of caspase-3, B-cell lymphoma 2 (Bcl-2) and Bcl-2-associated X protein (Bax) were measured by western blotting."
Prognostic,"A few studies suggest that BMP6 and HJV, which are inhibited in liver cancer, are the main regulator of hepcidin expression  , while studies have also shown that the low expression of hepcidin predicts poor prognosis in liver cancer patients."
N,"In an analysis of 69 primary and 23 recurrent tumor samples of both non-muscle invasive and Muscle Invasive Bladder Cancer (MIBC) using array comparative genomic hybridization, loss of heterozygosity of the PTEN region was reported in 12% and homozygous deletion was reported in1.4% of tumors."
N,N-myc appears restricted in its expression to the small cell lung cancer type while c-myc and L-myc can be expressed in both small cell and non-small cell lung cancers.
N,The effect of CPNE1 on TRAF2 expression was explored in human prostate cancer DU-145 cells.
N,"Here we show that overexpression of a constitutively active JNK in human breast cancer cells did not cause apoptosis, but actually induced cell migration and invasion, a morphological change associated with epithelial-mesenchymal transition (EMT), expression of mesenchymal-specific markers vimentin and fibronectin, and activity of AP-1 transcription factors."
N,Further studies found that exogenous prostaglandin E2 (PGE2) could significantly reduce E-cadherin expression in the NSCLC cells.
N,The HNSCC cell proliferation and invasion were inhibited by RET knockdown in vitro and in vivo.
N,"Analysis of Epstein-Barr virus with BamHI \""f\"" variant and XhoI-loss of LMP1 gene in nasopharyngeal carcinoma."
