evidencetype	gene_hugo_id	gene_entrez_id	gene_normalized	cancer_id	cancer_normalized	drug_id	drug	variant_group	variant_withsub	citation_count	in_civic	correct	usable	needed	comment
Diagnostic	HGNC:6407	3845	KRAS	DOID:9256	colorectal cancer			mutation	mutation	48	No	maybe	maybe	probably	"25568935  ""KRAS mutation assays are important companion diagnostic tests to guide the use of anti-EGFR antibody treatment of metastatic colorectal cancer"". They are used for diagnosng subsets within colorectal cancer."
Diagnostic	HGNC:7323	10801	SEPT9	DOID:9256	colorectal cancer			methylation	methylation	32	No	yes	yes	maybe	29849824 diagnostic valuce of circulating mSEPT9
Diagnostic	HGNC:1097	673	BRAF	DOID:9256	colorectal cancer			mutation	mutation	27	No	yes	maybe	yes	see ref 43 and 44 in this review.
Diagnostic	HGNC:5382	3417	IDH1	DOID:3070	malignant glioma			mutation	mutation	26	No	yes	yes	yes	29098416 This has found something very useful here I think
Diagnostic	HGNC:6407	3845	KRAS	DOID:1793	pancreatic cancer			mutation	mutation	24	No	yes	yes	yes	27974679 This also looks like an important addition
Diagnostic	HGNC:3236	1956	EGFR	DOID:3908	non-small cell lung carcinoma			mutation	mutation	23	No	yes	yes	yes	"26893581, 29765524 both look promising"
Diagnostic	HGNC:12858	7535	ZAP70	DOID:1040	chronic lymphocytic leukemia			expression	expression	23	No	yes	yes	yes	19253275 indiates diagnostic result
Diagnostic	HGNC:5382	3417	IDH1	DOID:3068	glioblastoma multiforme			mutation	mutation	19	No	yes	yes	yes	21199773 seems to make a clear diagnostic statement
Diagnostic	HGNC:7059	4255	MGMT	DOID:3068	glioblastoma multiforme			promoter methylation	promoter methylation	18	No	yes	yes	yes	"27688263, 27503138, 25418065, 22102081 "
Diagnostic	HGNC:6192	3717	JAK2	DOID:2224	essential thrombocythemia			substitution	substitution|V617F	17	No	yes	yes	yes	"25624900 clinical level evidence, 2 stars"
Diagnostic	HGNC:1101	675	BRCA2	DOID:2394	ovarian cancer			mutation	mutation	17	No	no	maybe	maybe	"not diagnostic, evidence about risk"
Diagnostic	HGNC:1100	672	BRCA1	DOID:2394	ovarian cancer			mutation	mutation	16	No	no	maybe	maybe	noconvincing diagnostic evidence statements
Diagnostic	HGNC:1667	952	CD38	DOID:1040	chronic lymphocytic leukemia			expression	expression	15	No	no	maybe	maybe	17107912 potentiall useable evidence but all prognostic.
Diagnostic	HGNC:6192	3717	JAK2	DOID:4971	myelofibrosis			substitution	substitution|V617F	14	No	yes	yes	yes	29383013
Diagnostic	HGNC:6192	3717	JAK2	DOID:2226	myeloproliferative neoplasm			substitution	substitution|V617F	14	No	yes	yes	yes	24022702
Diagnostic	HGNC:6192	3717	JAK2	DOID:2224	essential thrombocythemia			mutation	mutation	14	No	yes	yes	yes	26126599
Diagnostic	HGNC:1097	673	BRAF	DOID:9256	colorectal cancer			substitution	substitution|V600E	14	No	yes	yes	yes	"19213871, 26042813"
Diagnostic	HGNC:10777	6423	SFRP2	DOID:9256	colorectal cancer			methylation	methylation	14	No	yes	yes	yes	27799515
Diagnostic	HGNC:7059	4255	MGMT	DOID:3068	glioblastoma multiforme			methylation	methylation	13	No	yes	yes	yes	29844679
Diagnostic	HGNC:11998	7157	TP53	DOID:1040	chronic lymphocytic leukemia			mutation	mutation	13	No	no	maybe	maybe	all evidence was prognostic
Diagnostic	HGNC:6407	3845	KRAS	DOID:9256	colorectal cancer			[unknown]		12	No	N/A	N/A	N/A	
Diagnostic	HGNC:3430	2064	ERBB2	DOID:1612	breast cancer			expression	expression	12	No	yes	maybe	maybe	This is covered by out overexpression variant
Diagnostic	HGNC:3236	1956	EGFR	DOID:9256	colorectal cancer			[unknown]		12	No	N/A	N/A	N/A	
Diagnostic	HGNC:7059	4255	MGMT	DOID:3070	malignant glioma			methylation	methylation	11	No	yes	yes	yes	29100349
Diagnostic	HGNC:1817	1048	CEACAM5	DOID:9256	colorectal cancer			[unknown]		11	No	N/A	N/A	N/A	
Diagnostic	HGNC:15939	10406	WFDC2	DOID:2394	ovarian cancer			[unknown]		11	No	N/A	N/A	N/A	
Diagnostic	HGNC:11998	7157	TP53	DOID:4001	ovarian carcinoma			expression	expression	11	No	yes	yes	yes	"27902476, 27572321"
Diagnostic	HGNC:8975	5290	PIK3CA	DOID:9256	colorectal cancer			mutation	mutation	10	No	no	yes	yes	mostly predictive evidence for asprin
Diagnostic	HGNC:6192	3717	JAK2	DOID:2226	myeloproliferative neoplasm			mutation	mutation	10	No	yes	yes	yes	20728437
Diagnostic	HGNC:4638	2950	GSTP1	DOID:10283	prostate cancer			methylation	methylation	10	No	yes	yes	yes	27308330
Diagnostic	HGNC:1787	1029	CDKN2A	DOID:8557	oropharynx cancer			expression	expression	10	No	maybe	maybe	yes	"20423915 surrogate marker for HPV, used in staging, which is related to diagnosis, and something we should further consider."
Diagnostic	HGNC:7127	4292	MLH1	DOID:9256	colorectal cancer			methylation	methylation	9	No	yes	yes	yes	"26110029, 26042813"
