PH_0001	philadelphia chromosome positive leukemia	bcr-abl positive leukemia|bcr-abl+ leukemia|bcr-abl+ leukemias|bcr-abl-positive acute leukemia|bcr-abl-positive acute leukemias|bcr-abl-positive leukemias|bcr-abl1 + leukemia|bcr-abl1 -positive leukemias|bcr-abl1+ leukemias|bcr-abl1-positive acute leukemia|bcr-abl1-positive acute leukemias|bcr-abl1-positive leukemia|bcr/abl positive acute leukemia|bcr/abl positive leukemia|bcr/abl+ acute leukemias|bcr/abl+ leukemia|bcr/abl+ leukemias|bcr/abl-positive leukemias|ph (ph+) acute leukemia|ph + (ph+) acute leukemia|ph + leukemias|ph chromosome positive (ph+) acute leukemia|ph chromosome positive leukemias|ph chromosome-positive (ph+) acute leukemia|ph chromosome-positive leukemias|ph leukemias|ph+ (ph+) acute leukemia|ph+ leukemias|ph-chromosome positive (ph+) acute leukemia|ph-chromosome positive leukemias|ph-chromosome-positive (ph+) acute leukemia|ph-chromosome-positive leukemias|philadelphia (ph)-positive leukemia|philadelphia (ph)-positive leukemias|philadelphia chromosome (ph)+ leukemia|philadelphia chromosome (ph)-positive acute leukemia|philadelphia chromosome (ph)-positive leukemia|philadelphia chromosome (ph)-positive leukemias|philadelphia chromosome positive (ph+) acute leukemia|philadelphia chromosome positive leukemias|philadelphia chromosome-positive (ph+) acute leukemia|philadelphia chromosome-positive (ph+) acute leukemias|philadelphia chromosome-positive (ph+) leukemia|philadelphia chromosome-positive (ph+) leukemias|philadelphia chromosome-positive acute leukemia|philadelphia chromosome-positive acute leukemias|philadelphia chromosome-positive leukemia|philadelphia chromosome-positive leukemias|philadelphia positive (ph+) acute leukemia|philadelphia positive (ph+) leukemias|philadelphia positive leukemias|philadelphia+ leukemia|philadelphia-chromosome positive (ph+) acute leukemia|philadelphia-chromosome positive leukemias|philadelphia-chromosome-positive (ph+) acute leukemia|philadelphia-chromosome-positive leukemias|philadelphia-positive (ph+) acute leukemia|philadelphia-positive (ph+) leukemia|philadelphia-positive acute leukemia|philadelphia-positive acute leukemias|philadelphia-positive leukemia|philadelphia-positive leukemias
PH_0002	philadelphia chromosome negative leukemia	bcr-abl negative acute leukemias|bcr-abl-negative leukemia|bcr/abl- leukemia|bcr/abl-negative leukemia|ph - leukemias|ph chromosome negative leukemias|ph chromosome-negative leukemias|ph- leukemias|ph-chromosome negative leukemias|ph-chromosome-negative leukemias|philadelphia chromosome (ph) negative acute leukemia|philadelphia chromosome (ph) negative leukemia|philadelphia chromosome negative leukemias|philadelphia chromosome-negative (ph-) leukemias|philadelphia chromosome-negative leukemias|philadelphia negative leukemias|philadelphia-chromosome negative leukemias|philadelphia-chromosome-negative acute leukemia|philadelphia-chromosome-negative leukemias|philadelphia-negative leukemia
PH_0003	ph-like leukemia	philadelphia chromosome-like acute leukemia
PH_0004	philadelphia chromosome positive acute lymphoblastic leukemia	bcr-abl positive acute lymphatic leukemia|bcr-abl+ acute lymphoblastic leukemia|bcr-abl-positive acute lymphoblastic leukemia|bcr-abl-positive acute lymphoblastic leukemias|bcr-abl-positive acute lymphocytic leukemia|bcr-abl1 + acute lymphoblastic leukemia|bcr-abl1 positive acute lymphoblastic leukemia|bcr-abl1-positive acute lymphoblastic leukemias|bcr-abl1-positive acute lymphocytic leukemia|bcr/abl-positive acute lymphatic leukemia|bcr/abl-positive acute lymphoblastic leukemia|bcr/abl-positive acute lymphoblastic leukemias|bcr/abl-positive acute lymphocytic leukemia|bcr/abl-positive acute lymphoid leukemia|bcr/abl1-positive acute lymphoblastic leukemia|ph (ph+) acute lymphocytic leukemia|ph + (ph+) acute lymphocytic leukemia|ph + all|ph +all|ph chromosome positive (ph+) acute lymphocytic leukemia|ph chromosome-positive (ph+) acute lymphocytic leukemia|ph+ (ph+) acute lymphocytic leukemia|ph+ all|ph-chromosome positive (ph+) acute lymphocytic leukemia|ph-chromosome-positive (ph+) acute lymphocytic leukemia|philadelphia (ph) positive acute lymphoblastic leukemia|philadelphia + acute lymphoblastic leukemia|philadelphia chromosome (ph)-positive acute lymphoblastic leukemia|philadelphia chromosome (ph)-positive acute lymphocytic leukemia|philadelphia chromosome positive (ph+) acute lymphocytic leukemia|philadelphia chromosome-positive (ph+) acute lymphatic leukemia|philadelphia chromosome-positive (ph+) acute lymphoblastic leukemia|philadelphia chromosome-positive (ph+) acute lymphocytic leukemia|philadelphia chromosome-positive (ph+) acute lymphoid leukemia|philadelphia chromosome-positive acute lymphatic leukemia|philadelphia chromosome-positive acute lymphoblastic leukemia|philadelphia chromosome-positive acute lymphoblastic leukemias|philadelphia chromosome-positive acute lymphocytic leukemia|philadelphia chromosome-positive acute lymphoid leukemia|philadelphia chromosome-positive acute lymphoid leukemias|philadelphia positive (ph+) acute lymphoblastic leukemia|philadelphia positive (ph+) acute lymphocytic leukemia|philadelphia positive acute lymphoblastic leukaemia|philadelphia positive acute lymphoblastic leukemias|philadelphia positive acute lymphoid leukemia|philadelphia-chromosome positive (ph+) acute lymphocytic leukemia|philadelphia-chromosome-positive (ph+) acute lymphocytic leukemia|philadelphia-positive (ph) acute lymphoblastic leukemia|philadelphia-positive (ph+) acute lymphocytic leukemia|philadelphia-positive (ph+) acute lymphoid leukemia|philadelphia-positive acute lymphoblastic leukemia|philadelphia-positive acute lymphocytic leukemia
PH_0005	philadelphia chromosome negative acute lymphoblastic leukemia	bcr-abl -negative acute lymphoblastic leukemia|bcr-abl1-negative acute lymphoblastic leukemia|bcr/abl-negative acute lymphoblastic leukemia|bcr/abl1-negative acute lymphoblastic leukemia|philadelphia (ph)-negative acute lymphoblastic leukemia|philadelphia chromosome (ph)-negative acute lymphoblastic leukemia|philadelphia chromosome-negative (ph-) acute lymphoblastic leukemia|philadelphia chromosome-negative acute lymphoblastic leukemia|philadelphia chromosome-negative acute lymphocytic leukemia|philadelphia-acute lymphoblastic leukemia|philadelphia-negative acute lymphoblastic leukemia
PH_0006	ph-like acute lymphoblastic leukemia	bcr-abl like acute lymphoblastic leukemia|ph - like all|ph like all|ph- like all|ph-like acute lymphoblastic leukemia|ph-like acute lymphocytic leukemia|ph-like all|philadelphia chromosome (ph)-like acute lymphoblastic leukemia|philadelphia chromosome-like acute lymphoblastic leukemia|philadelphia-like acute lymphoblastic leukemia
PH_0007	philadelphia chromosome positive acute myeloid leukemia	bcr-abl + acute myelogenous leukemia|bcr-abl + acute myeloid leukemia|bcr-abl positive acute myelogenous leukemia|bcr-abl-positive acute myeloid leukemia|bcr-abl1 -positive acute myeloid leukemia|bcr/abl+ acute myelogenous leukemias|bcr/abl-positive acute myeloid leukemia|bcr/abl1-positive acute myeloid leukemia|ph + acute myelogenous leukemia|ph +aml|ph acute myelogenous leukemia|ph chromosome positive acute myelogenous leukemia|ph chromosome-positive acute myelogenous leukemia|ph+ acute myelogenous leukemia|ph+ aml|ph+aml|ph-chromosome positive acute myelogenous leukemia|ph-chromosome-positive acute myelogenous leukemia|philadelphia chromosome (ph) positive acute myeloid leukemia|philadelphia chromosome positive acute myelogenous leukemia|philadelphia chromosome-positive (ph+) acute myeloid leukemia|philadelphia chromosome-positive acute myelogenous leukemia|philadelphia chromosome-positive acute myeloid leukemia|philadelphia positive (ph+) acute myeloid leukemia|philadelphia positive acute myelogenous leukemia|philadelphia-chromosome positive acute myelogenous leukemia|philadelphia-chromosome-positive acute myelogenous leukemia|philadelphia-positive acute myelogenous leukemia|philadelphia-positive acute myeloid leukemia
PH_0008	philadelphia chromosome negative acute myeloid leukemia	bcr-abl1-negative acute myeloid leukemia|philadelphia chromosome-negative acute myeloid leukemia|philadelphia-chromosome-negative acute myelocytic leukemia|philadelphia-negative acute myeloid leukemia
PH_0009	ph-like acute myeloid leukemia	ph - like aml|ph like aml|ph- like aml|ph-like acute myeloid leukemia|ph-like aml
PH_0010	philadelphia chromosome positive chronic myelogenous leukemia	bcr-abl positive chronic myeloid leukemia|bcr-abl+ chronic myelogenous leukemia|bcr-abl+ chronic myeloid leukemia|bcr-abl-positive chronic myelogenous leukemia|bcr-abl-positive chronic myelogenous leukemias|bcr-abl1 positive chronic myeloid leukemia|bcr-abl1+ chronic myeloid leukemia|bcr-abl1-positive chronic myelogenous leukemia|bcr/abl+ chronic myelogenous leukemia|bcr/abl+ chronic myeloid leukemia|bcr/abl-positive chronic myelogenous leukemia|bcr/abl-positive chronic myeloid leukemia|bcr/abl1 positive chronic myeloid leukemia|ph (ph+) chronic myelocytic leukemia|ph (ph+) chronic myeloid leukemia|ph + (ph+) chronic myelocytic leukemia|ph + (ph+) chronic myeloid leukemia|ph + chronic myelogenous leukemias|ph + cml|ph +cml|ph chromosome positive (ph+) chronic myelocytic leukemia|ph chromosome positive (ph+) chronic myeloid leukemia|ph chromosome positive chronic myelogenous leukemias|ph chromosome-positive (ph+) chronic myelocytic leukemia|ph chromosome-positive (ph+) chronic myeloid leukemia|ph chromosome-positive chronic myelogenous leukemias|ph chronic myelogenous leukemias|ph+ (ph+) chronic myelocytic leukemia|ph+ (ph+) chronic myeloid leukemia|ph+ chronic myelogenous leukemias|ph+ cml|ph+cml|ph-chromosome positive (ph+) chronic myelocytic leukemia|ph-chromosome positive (ph+) chronic myeloid leukemia|ph-chromosome positive chronic myelogenous leukemias|ph-chromosome-positive (ph+) chronic myelocytic leukemia|ph-chromosome-positive (ph+) chronic myeloid leukemia|ph-chromosome-positive chronic myelogenous leukemias|philadelphia (ph) positive chronic myeloid leukemia|philadelphia (ph)-positive chronic myelogenous leukemia|philadelphia (ph)-positive chronic myeloid leukemias|philadelphia + chronic myeloid leukemia|philadelphia chromosome (ph)+ chronic myelogenous leukemia|philadelphia chromosome (ph)-positive chronic myelocytic leukemia|philadelphia chromosome (ph)-positive chronic myelogenous leukaemia|philadelphia chromosome (ph)-positive chronic myelogenous leukemia|philadelphia chromosome (ph)-positive chronic myeloid leukemia|philadelphia chromosome (ph+)-positive chronic myelogenous leukemia|philadelphia chromosome positive (ph+) chronic myelocytic leukemia|philadelphia chromosome positive (ph+) chronic myeloid leukemia|philadelphia chromosome positive chronic myelogenous leukemias|philadelphia chromosome-positive (ph+) chronic myelocytic leukemia|philadelphia chromosome-positive (ph+) chronic myelogenous leukemia|philadelphia chromosome-positive (ph+) chronic myelogenous leukemias|philadelphia chromosome-positive (ph+) chronic myeloid leukemia|philadelphia chromosome-positive chronic myelocytic leukemia|philadelphia chromosome-positive chronic myelocytic leukemias|philadelphia chromosome-positive chronic myelogenous leukemia|philadelphia chromosome-positive chronic myelogenous leukemias|philadelphia chromosome-positive chronic myeloid leukemia|philadelphia positive (ph+) chronic myelocytic leukemia|philadelphia positive (ph+) chronic myeloid leukemia|philadelphia positive chronic myelogenous leukemias|philadelphia positive chronic myeloid leukemia|philadelphia-chromosome positive (ph+) chronic myelocytic leukemia|philadelphia-chromosome positive (ph+) chronic myeloid leukemia|philadelphia-chromosome positive chronic myelogenous leukemias|philadelphia-chromosome-positive (ph+) chronic myelocytic leukemia|philadelphia-chromosome-positive (ph+) chronic myeloid leukemia|philadelphia-chromosome-positive chronic myelogenous leukemias|philadelphia-positive (ph+) chronic myelogenous leukemia|philadelphia-positive chronic myelocytic leukemia|philadelphia-positive chronic myelogenous leukemia|philadelphia-positive chronic myelogenous leukemias|philadelphia-positive chronic myeloid leukemias
PH_0011	philadelphia chromosome negative chronic myelogenous leukemia	bcr-abl negative chronic myeloid leukaemia|bcr-abl-chronic myeloid leukemia|bcr-abl-negative chronic myelogenous leukemia|bcr-abl-negative chronic myeloid leukemia|bcr-abl-negative chronic myeloid leukemias|bcr-abl1 - chronic myeloid leukemia|bcr-abl1-negative chronic myeloid leukemia|bcr/abl negative chronic myelogenous leukemia|bcr/abl negative chronic myeloid leukemia|bcr/abl- chronic myeloid leukemia|bcr/abl-negative chronic myeloid leukemia|philadelphia (ph)-negative chronic myelogenous leukemia|philadelphia (ph)-negative chronic myeloid leukemia|philadelphia chromosome-negative (ph-) chronic myelogenous leukemia|philadelphia chromosome-negative (ph-) chronic myeloid leukemia|philadelphia chromosome-negative chronic myelocytic leukemia|philadelphia chromosome-negative chronic myelogenous leukemia|philadelphia chromosome-negative chronic myeloid leukemia|philadelphia negative (ph-) chronic myeloid leukemia|philadelphia negative chronic myelocytic leukemia|philadelphia negative chronic myeloid leukemias|philadelphia-chromosome (ph)-negative chronic myelocytic leukemia|philadelphia-chromosome (ph)-negative chronic myelogenous leukemia|philadelphia-negative (ph-) chronic myelocytic leukemia|philadelphia-negative chronic myelogenous leukemia|philadelphia-negative chronic myeloid leukemia
